gender,ethnicity,age_category,year_assessment,height,weight,bmi
Girl,Dutch,13-16 years,1999,176,53,17.110021
Boy,Dutch,13-16 years,1999,176,58,18.724174
Boy,Dutch,13-16 years,1999,167,48,17.211087
Girl,Dutch,13-16 years,1999,168,53,18.778345
Girl,Surinamese South Asian,13-16 years,1999,153,38,16.233073
Girl,Maroccan,13-16 years,1999,166,83,30.120482
Boy,Dutch,13-16 years,1999,164,52.5,19.519631
Boy,Dutch,13-16 years,1999,183,65,19.409358
Boy,Dutch,13-16 years,1999,164,53,19.705532
Girl,Dutch,13-16 years,1999,177,70,22.343516
Girl,Dutch,13-16 years,1999,168,50,17.71542
Boy,Dutch,13-16 years,1999,174,54,17.83591
Girl,Dutch,13-16 years,1999,170,54,18.685121
Girl,Dutch,13-16 years,1999,170,55,19.031142
Girl,Dutch,13-16 years,1999,172,74.5,25.182531
Girl,Dutch,13-16 years,1999,176,61,19.692665
Girl,Turkish,13-16 years,1999,145,34,16.171225
Boy,Dutch,13-16 years,1999,166,54,19.596458
Boy,Surinamese South Asian,13-16 years,1999,157,46.5,18.864863
Girl,Dutch,13-16 years,1999,170,70,24.221453
Girl,Turkish,13-16 years,1999,155,50,20.811655
Boy,Dutch,13-16 years,1999,159,72.5,28.677663
Girl,Dutch,13-16 years,1999,158,43.5,17.425092
Boy,Dutch,13-16 years,1999,171,58,19.835163
Girl,Dutch,13-16 years,1999,174,54,17.83591
Boy,Maroccan,13-16 years,1999,169,58,20.307412
Boy,Dutch,13-16 years,1999,173,47,15.703832
Girl,Dutch,13-16 years,1999,165,65,23.875115
Girl,Maroccan,13-16 years,1999,164,76,28.25699
Girl,Dutch,13-16 years,1999,152,43,18.611496
Girl,Surinamese South Asian,13-16 years,1999,159,51,20.173253
Boy,Turkish,13-16 years,1999,146,42,19.703509
Boy,Turkish,13-16 years,1999,162,57,21.71925
Boy,Surinamese South Asian,13-16 years,1999,160,40,15625
Boy,Surinamese South Asian,13-16 years,1999,157,43,17.444927
Girl,Dutch,13-16 years,1999,171,90,30.778701
Boy,Dutch,13-16 years,1999,170,54.5,18.858131
Girl,Surinamese South Asian,13-16 years,1999,158,48,19.227688
Boy,Turkish,13-16 years,1999,159,65,25.711008
Girl,Surinamese South Asian,13-16 years,1999,168,63,22.321429
Boy,Dutch,13-16 years,1999,166,51,18.507766
Boy,Dutch,13-16 years,1999,168,47,16.652494
Girl,Dutch,13-16 years,1999,166,56,20.322253
Boy,Dutch,13-16 years,1999,159,41,16.217713
Boy,Dutch,13-16 years,1999,159,49,19.382145
Girl,Dutch,13-16 years,1999,165,50,18.365473
Girl,Maroccan,13-16 years,1999,163,49,18.442546
Girl,Dutch,13-16 years,1999,168,60,21.258503
Boy,Surinamese South Asian,13-16 years,1999,166,42,15.24169
Girl,Dutch,13-16 years,1999,166,53,19.233561
Girl,Surinamese South Asian,13-16 years,1999,162,56,21.338211
Girl,Surinamese South Asian,13-16 years,1999,155,51,21.227888
Boy,Surinamese South Asian,13-16 years,1999,158,55,22.031726
Boy,Dutch,13-16 years,1999,177,55,17.555619
Girl,Turkish,13-16 years,1999,161,49,18.903592
Girl,Dutch,13-16 years,1999,154,45,18.974532
Girl,Dutch,13-16 years,1999,149,36,16.215486
Boy,Dutch,13-16 years,1999,181,74,22.587833
Boy,Surinamese South Asian,13-16 years,1999,166,100,36.289737
Girl,Surinamese South Asian,13-16 years,1999,168,56,19.84127
Girl,Surinamese South Asian,13-16 years,1999,171,59,20.177149
Girl,Dutch,13-16 years,1999,157,42,17.039231
Girl,Maroccan,13-16 years,1999,165,41,15.059688
Boy,Dutch,13-16 years,1999,175,65,21.22449
Boy,Dutch,13-16 years,1999,171,66,22.571048
Boy,Turkish,13-16 years,1999,168,53,18.778345
Boy,Dutch,13-16 years,1999,170,58,20.069204
Girl,Maroccan,13-16 years,1999,173,65,21.718066
Girl,Surinamese South Asian,13-16 years,1999,161,70,27.005131
Boy,Dutch,13-16 years,1999,165,58,21.303949
Boy,Dutch,13-16 years,1999,167,46,16.493958
Girl,Dutch,13-16 years,1999,165,49.5,18.181818
Girl,Dutch,13-16 years,1999,154,50,21.082813
Boy,Turkish,13-16 years,1999,175,63,20.571429
Girl,Dutch,13-16 years,1999,163,55,20.700817
Boy,Turkish,13-16 years,1999,175,53,17.306122
Girl,Dutch,13-16 years,1999,156,53,21.778435
Girl,Dutch,13-16 years,1999,167,48,17.211087
Boy,Dutch,13-16 years,1999,162,54,20.576132
Boy,Turkish,13-16 years,1999,160,50,19.53125
Boy,Turkish,13-16 years,1999,158,52,20.829995
Boy,Dutch,13-16 years,1999,175,50,16.326531
Girl,Dutch,13-16 years,1999,170,60,20.761246
Girl,Dutch,13-16 years,1999,171,61.5,21.032112
Girl,Dutch,13-16 years,1999,161,53,20.446742
Boy,Surinamese South Asian,13-16 years,1999,176,81,26.149277
Girl,Surinamese South Asian,13-16 years,1999,154,45.5,19.18536
Girl,Dutch,13-16 years,1999,155,35,14.568158
Boy,Dutch,13-16 years,1999,184,57,16.836011
Girl,Maroccan,13-16 years,1999,168,60,21.258503
Boy,Dutch,13-16 years,1999,168,65.5,23.2072
Girl,Dutch,13-16 years,1999,164,52,19.33373
Boy,Dutch,13-16 years,1999,182,57,17.208067
Boy,Dutch,13-16 years,1999,171,56,19.151192
Girl,Surinamese South Asian,13-16 years,1999,155,45,18.730489
Girl,Dutch,13-16 years,1999,172,56,18.929151
Girl,Dutch,13-16 years,1999,170,63,21.799308
Girl,Maroccan,13-16 years,1999,171,55,18.809206
Girl,Maroccan,13-16 years,1999,152,39,16.880194
Girl,Dutch,13-16 years,1999,171,61,20.86112
Girl,Maroccan,13-16 years,1999,153,43,18.369003
Girl,Turkish,13-16 years,1999,164,52,19.33373
Boy,Dutch,13-16 years,1999,165,52,19.100092
Girl,Dutch,13-16 years,1999,178,96,30.299205
Boy,Dutch,13-16 years,1999,171,72.5,24.793954
Girl,Dutch,13-16 years,1999,170,55,19.031142
Girl,Dutch,13-16 years,1999,162,56,21.338211
Boy,Dutch,13-16 years,1999,172,61,20.619254
Boy,Dutch,13-16 years,1999,163,44,16.560653
Girl,Turkish,13-16 years,1999,146,34,15.95046
Boy,Maroccan,13-16 years,1999,171,53,18.125235
Boy,Dutch,13-16 years,1999,155,42,17.48179
Boy,Turkish,13-16 years,1999,167,52,18.645344
Boy,Dutch,13-16 years,1999,158,42.5,17.024515
Boy,Dutch,13-16 years,1999,180,60,18.518519
Boy,Surinamese South Asian,13-16 years,1999,160,44.5,17.382812
Girl,Dutch,13-16 years,1999,173,53,17.708577
Boy,Turkish,13-16 years,1999,157,52,21.096191
Girl,Dutch,13-16 years,1999,167,58,20.79673
Girl,Dutch,13-16 years,1999,166,57.5,20.866599
Girl,Dutch,13-16 years,1999,164,56,20.82094
Girl,Surinamese South Asian,13-16 years,1999,164,45,16.731112
Boy,Dutch,13-16 years,1999,155,39,16.233091
Boy,Dutch,13-16 years,1999,171,51.5,17.612257
Girl,Dutch,13-16 years,1999,154,44,18.552876
Boy,Dutch,13-16 years,1999,177,61,19.470778
Girl,Surinamese South Asian,13-16 years,1999,155,42,17.48179
Girl,Dutch,13-16 years,1999,160,44,17.1875
Girl,Dutch,13-16 years,1999,161,50,19.289379
Boy,Dutch,13-16 years,1999,171,53,18.125235
Girl,Dutch,13-16 years,1999,168,74,26.218821
Girl,Dutch,13-16 years,1999,172,51,17.239048
Girl,Dutch,13-16 years,1999,163,43,16.184275
Boy,Maroccan,13-16 years,1999,173,75,25.059307
Boy,Surinamese South Asian,13-16 years,1999,162,62,23.624447
Girl,Dutch,13-16 years,1999,164,45,16.731112
Girl,Turkish,13-16 years,1999,157,54,21.907582
Boy,Turkish,13-16 years,1999,166,58,21.048048
Girl,Maroccan,13-16 years,1999,153,41,17.514631
Boy,Dutch,13-16 years,1999,154,39,16.444594
Boy,Dutch,13-16 years,1999,168,53,18.778345
Boy,Dutch,13-16 years,1999,174,58,19.157088
Girl,Turkish,13-16 years,1999,157,46,18.662015
Girl,Maroccan,13-16 years,1999,164,47,17.474717
Girl,Dutch,13-16 years,1999,154,43,18.131219
Boy,Dutch,13-16 years,1999,174,70,23.120624
Boy,Dutch,13-16 years,1999,165,51.5,18.916437
Boy,Maroccan,13-16 years,1999,169,58,20.307412
Girl,Dutch,13-16 years,1999,163,45,16.937032
Boy,Maroccan,13-16 years,1999,172,69,23.323418
Girl,Dutch,13-16 years,1999,159,44,17.404375
Boy,Dutch,13-16 years,1999,154,55,23.191095
Boy,Dutch,13-16 years,1999,171,58,19.835163
Boy,Dutch,13-16 years,1999,175,68,22.204082
Boy,Dutch,13-16 years,1999,155,45.5,18.938606
Girl,Maroccan,13-16 years,1999,163,57.5,21.641763
Girl,Maroccan,13-16 years,1999,173,56,18.710949
Boy,Dutch,13-16 years,1999,168,55,19.486961
Boy,Dutch,13-16 years,1999,158,41.5,16.623938
Girl,Dutch,13-16 years,1999,170,59,20.415225
Girl,Dutch,13-16 years,1999,163,55,20.700817
Boy,Dutch,13-16 years,1999,171,59,20.177149
Girl,Dutch,13-16 years,1999,175,61.5,20.081633
Girl,Maroccan,13-16 years,1999,167,94,33.705045
Boy,Dutch,13-16 years,1999,186,76,21.967858
